date,region,category,total_sales,total_profit
2023-06-09,South,Furniture,104.81,18.73
2023-06-09,West,Office Supplies,570.18,101.58
2023-06-09,East,Office Supplies,407.94,71.61
2023-06-09,Central,Technology,68.29,12.74
2023-06-09,West,Furniture,1399.76,239.52999999999997
2023-06-09,South,Technology,283.97,57.96
2023-06-09,South,Office Supplies,753.37,62.14
2023-06-09,Central,Office Supplies,452.02,29.93
2023-06-10,Central,Furniture,785.8199999999999,85.24
2023-06-10,West,Technology,352.01,55.05
2023-06-10,East,Technology,1069.15,262.0
2023-06-10,East,Furniture,780.33,195.4
2023-06-10,East,Office Supplies,1672.01,255.54999999999998
2023-06-10,South,Office Supplies,615.92,82.83
2023-06-10,West,Office Supplies,634.67,135.17
2023-06-10,Central,Technology,1383.66,296.46000000000004
2023-06-10,South,Technology,1308.78,151.26
2023-06-10,West,Furniture,1217.74,134.32
2023-06-11,East,Office Supplies,386.58,29.12
2023-06-11,East,Furniture,1802.3600000000001,352.28999999999996
2023-06-11,Central,Technology,601.71,139.81
2023-06-11,East,Technology,718.59,61.1
2023-06-11,Central,Furniture,1309.49,274.97
2023-06-11,South,Office Supplies,1013.03,77.22
2023-06-11,West,Office Supplies,64.38,7.21
2023-06-11,West,Furniture,1177.17,288.33
2023-06-12,East,Office Supplies,818.79,242.24
2023-06-12,Central,Furniture,381.07,76.73
2023-06-12,Central,Technology,1511.46,320.5
2023-06-12,South,Technology,781.06,197.47
2023-06-12,East,Technology,991.47,135.18
2023-06-12,West,Office Supplies,1697.13,403.78999999999996
2023-06-12,West,Furniture,1106.83,147.75
2023-06-12,Central,Office Supplies,586.37,51.12
2023-06-12,South,Furniture,1933.3,373.22
2023-06-12,East,Furniture,1966.22,377.53
2023-06-13,West,Technology,379.79,79.24
2023-06-13,Central,Technology,213.60000000000002,43.17
2023-06-13,South,Technology,655.98,123.49000000000001
2023-06-13,South,Furniture,542.0,92.74
2023-06-13,East,Technology,969.19,67.07
2023-06-13,East,Office Supplies,965.37,200.71
2023-06-14,South,Furniture,45.22,4.19
2023-06-14,East,Furniture,342.64,89.17
2023-06-14,South,Technology,292.01,77.17
2023-06-14,West,Furniture,1898.8,232.87000000000003
2023-06-14,East,Office Supplies,947.68,211.79
2023-06-14,West,Technology,2259.79,483.29999999999995
2023-06-14,Central,Furniture,687.1,81.4
2023-06-14,West,Office Supplies,1665.33,345.67999999999995
2023-06-14,Central,Technology,785.88,148.17000000000002
2023-06-14,Central,Office Supplies,1047.29,85.91
2023-06-15,East,Technology,287.44,74.14
2023-06-15,West,Office Supplies,2203.27,457.47
2023-06-15,East,Furniture,947.52,135.43
2023-06-15,Central,Furniture,465.88,59.94
2023-06-15,South,Technology,673.44,122.46
2023-06-15,Central,Technology,900.24,192.97
2023-06-15,East,Office Supplies,972.31,110.69
2023-06-15,West,Furniture,986.05,153.6
2023-06-15,South,Furniture,160.12,10.52
2023-06-16,West,Office Supplies,654.33,137.53
2023-06-16,West,Technology,697.98,117.2
2023-06-16,South,Furniture,1032.58,60.71
2023-06-16,East,Technology,1181.5,322.2
2023-06-16,East,Office Supplies,975.43,177.76999999999998
2023-06-16,Central,Office Supplies,850.53,83.32
2023-06-16,Central,Technology,379.86,27.11
2023-06-17,East,Office Supplies,486.28,62.36
2023-06-17,Central,Furniture,741.85,178.96
2023-06-17,East,Technology,1373.47,253.32999999999998
2023-06-17,South,Technology,401.0,92.95
2023-06-17,West,Technology,829.86,186.07
2023-06-17,West,Office Supplies,144.9,39.09
2023-06-17,East,Furniture,915.06,150.24
2023-06-17,South,Furniture,1046.6399999999999,95.2
2023-06-18,Central,Furniture,401.78,39.49
2023-06-18,West,Office Supplies,118.14,10.8
2023-06-18,East,Office Supplies,422.19,89.16
2023-06-18,East,Furniture,616.18,176.07
2023-06-18,South,Furniture,1665.1299999999999,469.12
2023-06-18,West,Technology,1550.99,295.8
2023-06-18,West,Furniture,695.22,138.82
2023-06-19,South,Office Supplies,156.46,41.26
2023-06-19,South,Technology,89.61,17.34
2023-06-19,East,Office Supplies,773.65,158.32
2023-06-19,Central,Technology,710.8,184.78
2023-06-19,West,Technology,626.69,77.58
2023-06-19,West,Furniture,200.29,38.93000000000001
2023-06-19,East,Technology,824.9200000000001,69.12
2023-06-20,West,Technology,760.9100000000001,161.95999999999998
2023-06-20,East,Furniture,1266.07,112.73
2023-06-20,South,Office Supplies,1031.8600000000001,119.58000000000001
2023-06-20,Central,Furniture,973.68,94.9
2023-06-20,South,Technology,1205.52,251.44
2023-06-20,Central,Technology,880.3,193.44
2023-06-20,East,Technology,1986.5099999999998,257.07
2023-06-20,West,Furniture,870.11,248.99
2023-06-21,Central,Furniture,1155.01,236.2
2023-06-21,South,Technology,57.13,3.9
2023-06-21,Central,Technology,2929.96,579.67
2023-06-21,West,Technology,1916.74,283.67
2023-06-21,West,Furniture,683.22,161.95
2023-06-21,South,Office Supplies,2064.57,463.86
2023-06-21,East,Office Supplies,601.77,56.78
2023-06-21,Central,Office Supplies,602.55,64.45
2023-06-22,South,Office Supplies,575.91,158.13
2023-06-22,Central,Furniture,821.04,103.26
2023-06-22,East,Technology,892.53,204.91
2023-06-22,Central,Office Supplies,1995.81,512.92
2023-06-22,East,Office Supplies,610.48,115.66
2023-06-22,South,Technology,934.22,236.06
2023-06-22,South,Furniture,45.79,10.97
2023-06-22,Central,Technology,241.31,27.98
2023-06-23,West,Furniture,457.05,130.35
2023-06-23,South,Office Supplies,687.64,98.48
2023-06-23,Central,Office Supplies,991.68,103.02
2023-06-23,South,Furniture,785.8599999999999,58.36
2023-06-23,West,Office Supplies,125.75,17.810000000000002
2023-06-23,West,Technology,964.74,131.29
2023-06-24,East,Technology,1039.46,181.79
2023-06-24,Central,Office Supplies,2584.71,522.64
2023-06-24,West,Furniture,912.61,199.94
2023-06-24,South,Furniture,681.61,91.33
2023-06-24,Central,Furniture,932.77,157.77
2023-06-24,West,Office Supplies,207.49,52.18
2023-06-24,West,Technology,880.84,60.06
2023-06-24,South,Office Supplies,982.12,136.94
2023-06-25,Central,Technology,454.43,46.05
2023-06-25,Central,Office Supplies,661.43,176.8
2023-06-25,Central,Furniture,906.51,112.22
2023-06-25,South,Furniture,1205.58,293.5
2023-06-25,East,Technology,1087.28,287.21
2023-06-25,South,Office Supplies,818.42,112.38
2023-06-25,West,Furniture,979.51,198.02
2023-06-25,South,Technology,426.75,40.5
2023-06-25,West,Technology,1313.47,150.99
2023-06-25,West,Office Supplies,532.55,130.87
2023-06-25,East,Furniture,260.99,57.1
2023-06-26,East,Office Supplies,522.4,35.86
2023-06-26,Central,Office Supplies,175.42,19.42
2023-06-26,Central,Technology,1360.35,212.11
2023-06-26,South,Technology,576.87,114.57
2023-06-26,West,Office Supplies,958.59,91.27
2023-06-26,West,Furniture,94.42,10.82
2023-06-26,East,Furniture,1238.43,208.95000000000002
2023-06-26,South,Furniture,538.79,132.05
2023-06-26,Central,Furniture,1739.53,314.97
2023-06-27,Central,Technology,911.94,251.37
2023-06-27,West,Furniture,29.45,1.57
2023-06-27,Central,Furniture,771.19,127.47
2023-06-27,East,Technology,52.86,6.28
2023-06-27,West,Technology,476.26,123.17
2023-06-27,East,Furniture,594.91,117.85
2023-06-27,East,Office Supplies,749.32,98.46
2023-06-27,South,Technology,1387.35,144.49
2023-06-27,South,Office Supplies,382.34,42.66
2023-06-28,South,Technology,982.4200000000001,97.15
2023-06-28,East,Technology,247.07,53.45
2023-06-28,Central,Office Supplies,259.72,73.26
2023-06-28,South,Office Supplies,1597.52,234.3
2023-06-28,Central,Furniture,971.11,94.88
2023-06-28,Central,Technology,974.36,231.28
2023-06-28,West,Technology,1997.47,334.95
2023-06-29,Central,Technology,1994.21,222.83
2023-06-29,East,Technology,347.9,53.49
2023-06-29,Central,Furniture,110.04,24.23
2023-06-29,West,Furniture,203.65,40.46
2023-06-29,Central,Office Supplies,439.59,130.99
2023-06-29,West,Office Supplies,969.12,182.1
2023-06-29,South,Furniture,328.1,50.1
2023-06-30,Central,Office Supplies,1565.0700000000002,288.40999999999997
2023-06-30,South,Office Supplies,526.91,32.07
2023-06-30,Central,Furniture,1347.99,214.47
2023-06-30,South,Technology,148.25,16.3
2023-06-30,Central,Technology,2741.33,469.34000000000003
2023-06-30,West,Office Supplies,727.96,43.5
2023-06-30,South,Furniture,569.96,139.18
2023-06-30,East,Office Supplies,423.62,99.6
2023-07-01,East,Technology,525.8,109.19
2023-07-01,West,Technology,166.05,36.76
2023-07-01,East,Furniture,595.27,91.57
2023-07-01,South,Technology,784.72,144.6
2023-07-01,East,Office Supplies,843.81,147.48
2023-07-01,Central,Technology,476.21,73.28
2023-07-01,South,Furniture,1715.04,342.77000000000004
2023-07-01,West,Furniture,578.26,165.29
2023-07-01,Central,Office Supplies,270.7,50.71
2023-07-01,Central,Furniture,1166.79,119.43
2023-07-02,South,Furniture,1480.9299999999998,259.99
2023-07-02,East,Technology,882.8299999999999,129.85
2023-07-02,East,Furniture,1475.2800000000002,254.76
2023-07-02,East,Office Supplies,1675.86,389.77
2023-07-02,South,Office Supplies,1826.08,470.96999999999997
2023-07-02,West,Technology,818.16,159.58
2023-07-02,Central,Technology,1597.81,387.53999999999996
2023-07-02,West,Office Supplies,937.94,167.09
2023-07-02,Central,Office Supplies,1900.87,280.56
2023-07-02,West,Furniture,23.23,4.78
2023-07-02,South,Technology,1172.79,165.5
2023-07-03,West,Office Supplies,448.5,111.42
2023-07-03,East,Technology,1630.26,171.05
2023-07-03,Central,Technology,442.1,39.43
2023-07-03,Central,Furniture,788.99,146.35
2023-07-03,West,Furniture,1596.6599999999999,295.2
2023-07-03,East,Office Supplies,492.56,96.08
2023-07-03,South,Office Supplies,660.13,114.56
2023-07-03,Central,Office Supplies,781.41,169.36
2023-07-03,South,Furniture,704.51,124.4
2023-07-04,East,Technology,1893.0500000000002,328.94
2023-07-04,South,Technology,262.87,41.68
2023-07-04,Central,Technology,1457.58,258.88
2023-07-04,South,Office Supplies,1484.99,270.15999999999997
2023-07-04,Central,Furniture,772.91,111.79
2023-07-04,East,Furniture,611.12,70.03
2023-07-04,West,Furniture,1176.02,222.73000000000002
2023-07-04,West,Technology,1263.0900000000001,287.5
2023-07-04,East,Office Supplies,517.98,80.19
2023-07-04,South,Furniture,1042.95,121.89000000000001
2023-07-05,Central,Technology,965.3299999999999,226.66
2023-07-05,West,Furniture,331.56,63.73
2023-07-05,South,Office Supplies,716.6,92.8
2023-07-05,East,Office Supplies,799.81,217.44
2023-07-05,Central,Office Supplies,208.44,36.81
2023-07-06,South,Office Supplies,425.17,87.25
2023-07-06,East,Office Supplies,148.44,43.3
2023-07-06,West,Office Supplies,400.55,77.91
2023-07-06,Central,Furniture,793.63,121.87
2023-07-06,East,Furniture,322.4,28.39
2023-07-06,South,Furniture,847.58,137.26999999999998
2023-07-06,West,Furniture,579.11,163.39
2023-07-07,South,Furniture,404.33,53.09
2023-07-07,Central,Furniture,1390.0,266.62
2023-07-07,West,Office Supplies,2144.89,473.89
2023-07-07,Central,Office Supplies,774.95,127.4
2023-07-07,Central,Technology,1598.68,335.86
2023-07-07,West,Furniture,1270.17,271.04999999999995
2023-07-07,East,Office Supplies,796.11,84.84
2023-07-07,South,Technology,669.41,103.56
2023-07-07,East,Technology,450.12,88.74
2023-07-08,West,Furniture,595.59,131.62
2023-07-08,South,Technology,348.93,98.81
2023-07-08,South,Office Supplies,554.35,153.48000000000002
2023-07-08,East,Furniture,881.91,133.96
2023-07-08,South,Furniture,325.78,63.71
2023-07-08,West,Office Supplies,749.05,206.18
2023-07-08,East,Technology,1416.34,183.43
2023-07-08,East,Office Supplies,1274.27,172.9
2023-07-09,West,Technology,1631.8000000000002,326.85
2023-07-09,East,Technology,415.7,118.64
2023-07-09,South,Technology,1198.62,225.59
2023-07-09,East,Office Supplies,79.59,5.66
2023-07-09,Central,Furniture,77.28,8.28
2023-07-09,Central,Office Supplies,462.1,69.83
2023-07-09,East,Furniture,772.64,100.12
2023-07-10,South,Office Supplies,146.36,12.9
2023-07-10,Central,Furniture,419.64,39.57
2023-07-10,East,Furniture,50.93,4.49
2023-07-10,South,Furniture,1903.1999999999998,323.61
2023-07-10,West,Technology,970.47,121.12
2023-07-10,South,Technology,915.17,55.629999999999995
2023-07-10,West,Office Supplies,544.71,28.26
2023-07-11,West,Office Supplies,346.55,74.22
2023-07-11,East,Technology,943.0999999999999,165.42
2023-07-11,East,Office Supplies,250.32,52.77
2023-07-11,Central,Technology,723.06,91.21000000000001
2023-07-11,Central,Furniture,428.24,92.54
2023-07-11,South,Technology,727.11,169.45
2023-07-11,South,Office Supplies,1883.6,309.65
2023-07-11,West,Furniture,2648.75,546.95
2023-07-12,West,Office Supplies,1031.7,239.28
2023-07-12,Central,Office Supplies,342.36,80.9
2023-07-12,East,Office Supplies,876.41,165.25
2023-07-12,East,Furniture,924.17,175.16
2023-07-12,East,Technology,998.25,272.76
2023-07-12,South,Technology,165.42,8.87
2023-07-12,Central,Furniture,490.98,70.11
2023-07-12,Central,Technology,2339.9100000000003,356.49
2023-07-12,West,Technology,788.85,220.27
2023-07-12,South,Office Supplies,153.4,43.65
2023-07-13,South,Furniture,742.41,117.49
2023-07-13,East,Furniture,1344.21,339.02
2023-07-13,West,Office Supplies,521.17,66.61
2023-07-13,East,Technology,455.32,52.99
2023-07-13,Central,Office Supplies,1036.05,182.84
2023-07-13,Central,Technology,266.1,73.72
2023-07-13,West,Technology,449.83,75.44
2023-07-13,South,Office Supplies,225.72,59.73
2023-07-13,Central,Furniture,1107.06,204.29
2023-07-14,Central,Technology,1873.02,298.1
2023-07-14,Central,Furniture,2242.2599999999998,435.28999999999996
2023-07-14,South,Technology,2331.06,410.61
2023-07-14,South,Furniture,1068.44,177.57
2023-07-14,East,Furniture,981.68,153.4
2023-07-14,West,Technology,147.29,19.63
2023-07-14,East,Technology,299.71,48.01
2023-07-14,Central,Office Supplies,1287.0100000000002,135.59
2023-07-14,East,Office Supplies,826.1300000000001,136.66
2023-07-15,South,Technology,1343.42,351.85
2023-07-15,East,Furniture,223.63,38.35
2023-07-15,West,Office Supplies,118.47,27.54
2023-07-15,South,Furniture,460.48,39.56
2023-07-15,East,Office Supplies,1710.8600000000001,202.22
2023-07-16,Central,Technology,123.57,27.14
2023-07-16,South,Office Supplies,538.75,91.05
2023-07-16,West,Office Supplies,1370.57,153.18
2023-07-16,East,Furniture,1798.92,293.62
2023-07-16,Central,Furniture,996.99,201.82
2023-07-16,East,Technology,2111.24,463.82
2023-07-16,Central,Office Supplies,200.26,42.18
2023-07-16,West,Technology,730.81,202.97
2023-07-16,South,Furniture,962.87,226.81
2023-07-17,South,Office Supplies,504.09000000000003,68.83
2023-07-17,South,Furniture,490.39,86.28
2023-07-17,West,Office Supplies,314.98,40.69
2023-07-17,South,Technology,1880.8700000000001,249.27
2023-07-17,East,Technology,2605.12,294.03
2023-07-17,Central,Technology,777.01,137.48000000000002
2023-07-17,East,Furniture,1720.61,183.03
2023-07-17,West,Furniture,1224.96,272.81
2023-07-17,Central,Furniture,697.43,90.59
2023-07-18,South,Technology,960.23,161.79999999999998
2023-07-18,Central,Office Supplies,1101.15,176.12
2023-07-18,East,Technology,1384.81,249.69
2023-07-18,South,Office Supplies,445.12,64.86
2023-07-18,West,Furniture,621.8,173.51
2023-07-18,East,Office Supplies,891.68,98.03
2023-07-18,East,Furniture,3236.15,695.8299999999998
2023-07-19,Central,Furniture,1382.46,183.05
2023-07-19,Central,Technology,966.9000000000001,181.98000000000002
2023-07-19,South,Technology,1648.9,193.55
2023-07-19,South,Furniture,805.73,123.56
2023-07-19,West,Office Supplies,526.48,63.77
2023-07-19,Central,Office Supplies,115.15,13.27
2023-07-19,East,Office Supplies,1643.0900000000001,206.31
2023-07-19,South,Office Supplies,1719.9499999999998,268.79
2023-07-19,West,Furniture,254.55,33.65
2023-07-19,East,Technology,1252.9499999999998,212.24
2023-07-20,East,Furniture,1295.77,337.18
2023-07-20,West,Office Supplies,580.24,113.58
2023-07-20,West,Furniture,294.75,39.94
2023-07-20,South,Furniture,783.5699999999999,76.57
2023-07-20,Central,Technology,1216.78,234.5
2023-07-20,West,Technology,667.89,60.2
2023-07-20,Central,Office Supplies,736.14,131.09
2023-07-20,East,Office Supplies,651.71,152.68
2023-07-20,East,Technology,979.67,49.77
2023-07-20,Central,Furniture,1236.87,290.45000000000005
2023-07-21,South,Technology,562.38,102.01
2023-07-21,South,Office Supplies,1625.6,339.33000000000004
2023-07-21,East,Furniture,373.77,36.9
2023-07-21,Central,Furniture,1319.24,249.12
2023-07-21,Central,Office Supplies,596.56,95.08
2023-07-21,Central,Technology,294.28,15.46
2023-07-21,East,Technology,1711.71,225.82999999999998
2023-07-22,Central,Technology,437.45,60.47
2023-07-22,West,Office Supplies,147.85,25.31
2023-07-22,South,Furniture,869.25,93.8
2023-07-22,West,Furniture,274.31,16.93
2023-07-22,East,Furniture,808.0699999999999,148.68
2023-07-22,South,Office Supplies,1808.7800000000002,295.32
2023-07-22,East,Office Supplies,2543.64,571.8199999999999
2023-07-22,West,Technology,814.29,115.41
2023-07-22,East,Technology,218.23,51.02
2023-07-23,South,Office Supplies,1127.79,236.8
2023-07-23,Central,Technology,1725.1399999999999,326.09000000000003
2023-07-23,East,Technology,591.5,70.88
2023-07-23,South,Furniture,944.97,253.92
2023-07-23,East,Office Supplies,1186.03,256.11
2023-07-23,West,Office Supplies,867.77,63.56
2023-07-23,Central,Furniture,1140.52,266.55
2023-07-23,West,Furniture,372.12,95.71
2023-07-24,West,Technology,569.02,165.29
2023-07-24,Central,Technology,713.99,183.93
2023-07-24,Central,Furniture,147.92,32.0
2023-07-24,West,Furniture,115.76,17.26
2023-07-24,West,Office Supplies,717.0,168.04
2023-07-24,South,Office Supplies,1161.06,267.2
2023-07-24,East,Office Supplies,582.26,139.58
2023-07-25,Central,Office Supplies,900.87,86.4
2023-07-25,South,Office Supplies,643.4300000000001,111.28999999999999
2023-07-25,East,Furniture,1204.55,133.01
2023-07-25,Central,Technology,1258.4099999999999,275.54
2023-07-25,South,Furniture,622.08,57.46
2023-07-25,West,Technology,920.44,214.57
2023-07-25,West,Furniture,956.46,92.15
2023-07-25,West,Office Supplies,114.06,33.96
2023-07-25,East,Technology,425.27,29.37
2023-07-25,East,Office Supplies,1548.22,136.27
2023-07-25,South,Technology,1079.37,129.57999999999998
2023-07-26,Central,Office Supplies,182.04,9.14
2023-07-26,Central,Furniture,874.44,50.58
2023-07-26,South,Furniture,522.11,154.36
2023-07-26,East,Office Supplies,53.43,14.95
2023-07-26,East,Technology,1077.1299999999999,160.11
2023-07-26,West,Office Supplies,2125.94,464.73
2023-07-26,West,Furniture,96.13,16.1
2023-07-26,East,Furniture,2850.91,566.45
2023-07-27,West,Technology,657.55,109.73
2023-07-27,South,Office Supplies,1934.7199999999998,314.78000000000003
2023-07-27,Central,Office Supplies,1008.4399999999999,262.6
2023-07-27,Central,Furniture,1415.75,368.24
2023-07-27,Central,Technology,855.7,154.58
2023-07-27,East,Office Supplies,929.8,85.52
2023-07-28,West,Furniture,903.09,222.37
2023-07-28,West,Office Supplies,481.37,113.23
2023-07-28,Central,Office Supplies,1414.25,190.63
2023-07-28,East,Furniture,801.3,128.5
2023-07-28,Central,Technology,433.84,105.88
2023-07-28,East,Office Supplies,408.52,58.62
2023-07-28,South,Office Supplies,540.44,138.9
2023-07-28,South,Furniture,1137.3500000000001,240.17999999999998
2023-07-28,West,Technology,356.87,75.41
2023-07-28,Central,Furniture,759.36,185.98000000000002
2023-07-28,South,Technology,66.82,9.38
2023-07-29,South,Furniture,828.35,73.42
2023-07-29,East,Office Supplies,1112.74,221.64000000000001
2023-07-29,Central,Office Supplies,317.19,54.39
2023-07-29,West,Furniture,886.05,107.69
2023-07-29,South,Technology,716.74,161.61
2023-07-29,West,Office Supplies,923.4,126.99
2023-07-29,West,Technology,1176.18,251.13
2023-07-30,West,Office Supplies,296.32,56.97
2023-07-30,East,Technology,652.41,126.51
2023-07-30,West,Furniture,1516.98,303.81
2023-07-30,Central,Office Supplies,398.86,49.33
2023-07-30,South,Office Supplies,2252.54,463.55999999999995
2023-07-30,Central,Furniture,657.59,177.25
2023-07-30,Central,Technology,1257.35,81.25
2023-07-30,South,Technology,3158.91,502.45
2023-07-30,East,Office Supplies,676.48,197.91
2023-07-31,South,Technology,31.52,3.13
2023-07-31,West,Office Supplies,566.77,32.54
2023-07-31,Central,Furniture,818.6500000000001,113.92
2023-07-31,East,Furniture,57.93,14.19
2023-07-31,East,Technology,1066.57,203.68
2023-07-31,Central,Technology,622.8,89.0
2023-07-31,West,Furniture,434.4,70.74
2023-07-31,Central,Office Supplies,1146.23,320.99
2023-07-31,South,Furniture,929.34,168.15
2023-07-31,South,Office Supplies,1089.62,110.11999999999999
2023-08-01,West,Technology,962.13,181.64
2023-08-01,East,Office Supplies,377.86,25.6
2023-08-01,West,Office Supplies,2232.79,390.21999999999997
2023-08-01,West,Furniture,1106.39,160.54000000000002
2023-08-01,Central,Technology,1075.8,281.88
2023-08-01,East,Technology,1062.3,176.62
2023-08-01,Central,Furniture,501.98,119.47
2023-08-01,South,Technology,751.95,66.5
2023-08-01,Central,Office Supplies,749.6600000000001,69.66
2023-08-01,East,Furniture,969.21,107.99
2023-08-02,South,Furniture,920.63,223.04
2023-08-02,Central,Furniture,1105.84,174.85
2023-08-02,West,Furniture,335.8,71.92
2023-08-02,East,Technology,2107.12,534.93
2023-08-02,South,Technology,133.33,36.65
2023-08-02,Central,Technology,321.24,36.73
2023-08-02,Central,Office Supplies,887.52,216.44
2023-08-03,South,Office Supplies,683.32,94.46
2023-08-03,Central,Office Supplies,1152.24,230.59
2023-08-03,West,Furniture,618.6,183.27
2023-08-03,South,Furniture,375.56,25.7
2023-08-03,Central,Technology,1560.27,260.51
2023-08-03,Central,Furniture,1394.41,376.12
2023-08-04,West,Office Supplies,965.0999999999999,114.84
2023-08-04,East,Office Supplies,810.15,101.94
2023-08-04,South,Office Supplies,946.5799999999999,173.0
2023-08-04,East,Furniture,767.75,149.3
2023-08-04,Central,Technology,1420.9099999999999,389.24
2023-08-04,South,Furniture,805.74,83.71
2023-08-04,South,Technology,450.02,43.52
2023-08-05,Central,Furniture,108.57,31.98
2023-08-05,South,Technology,776.06,175.78
2023-08-05,South,Furniture,792.35,74.04
2023-08-05,East,Technology,639.24,158.88
2023-08-05,East,Office Supplies,748.5999999999999,137.0
2023-08-05,Central,Office Supplies,387.42,48.79
2023-08-05,West,Furniture,1189.12,255.07
2023-08-05,South,Office Supplies,61.51,16.45
2023-08-05,East,Furniture,259.65,18.62
2023-08-06,East,Office Supplies,668.1600000000001,159.87
2023-08-06,West,Office Supplies,1278.84,246.24
2023-08-06,East,Technology,1051.68,226.72
2023-08-06,South,Office Supplies,650.21,112.08
2023-08-06,Central,Furniture,328.1,62.53
2023-08-06,East,Furniture,322.25,47.67
2023-08-06,South,Furniture,1189.92,130.21
2023-08-06,Central,Office Supplies,62.0,8.89
2023-08-06,South,Technology,1369.46,182.24
2023-08-07,West,Technology,1335.83,131.66
2023-08-07,West,Furniture,300.12,20.36
2023-08-07,South,Office Supplies,1403.8000000000002,246.0
2023-08-07,East,Technology,798.8199999999999,135.88
2023-08-07,West,Office Supplies,170.47,36.4
2023-08-07,East,Office Supplies,2133.66,440.33000000000004
2023-08-07,South,Technology,755.89,213.68
2023-08-07,East,Furniture,842.44,172.98
2023-08-07,Central,Technology,793.18,138.89
2023-08-07,Central,Office Supplies,817.94,194.6
2023-08-08,East,Furniture,1288.8400000000001,252.42
2023-08-08,East,Technology,360.65,103.15
