order_id,order_date,region,category,sub_category,sales,profit
ORD10433,2023-09-25,East,Furniture,Bookcases,289.53,30.63
ORD18196,2023-07-03,East,Technology,Accessories,894.34,64.16
ORD01338,2024-09-18,South,Furniture,Chairs,111.82,12.1
ORD08386,2023-11-27,East,Technology,Phones,721.7,162.62
ORD79402,2024-12-02,South,Furniture,Tables,597.48,150.78
ORD65423,2025-01-22,East,Furniture,Bookcases,434.16,51.87
ORD51161,2024-03-13,West,Office Supplies,Binders,110.89,8.23
ORD59407,2024-07-29,Central,Technology,Laptops,810.99,188.5
ORD16184,2025-03-14,East,Office Supplies,Binders,561.0,144.37
ORD95931,2023-07-14,Central,Technology,Phones,710.48,43.66
ORD34131,2024-03-30,West,Office Supplies,Binders,858.21,228.82
ORD47525,2024-03-10,South,Office Supplies,Paper,642.97,90.79
ORD34192,2024-07-27,Central,Office Supplies,Binders,676.77,152.58
ORD32764,2025-05-27,East,Technology,Accessories,187.72,43.6
ORD83503,2025-03-08,West,Office Supplies,Paper,284.55,80.06
ORD05641,2023-11-19,West,Technology,Laptops,845.99,206.42
ORD95376,2025-04-26,West,Furniture,Tables,413.14,27.49
ORD72423,2025-01-07,Central,Furniture,Bookcases,509.25,138.09
ORD88496,2025-05-06,South,Furniture,Tables,156.84,37.05
ORD96532,2024-07-08,Central,Technology,Accessories,439.87,86.16
ORD71012,2024-10-08,Central,Furniture,Chairs,519.34,37.77
ORD26916,2024-03-31,East,Furniture,Chairs,634.9,157.47
ORD97848,2025-04-07,South,Technology,Phones,397.07,79.01
ORD01845,2023-09-03,South,Technology,Laptops,971.66,257.68
ORD46270,2024-12-20,East,Technology,Accessories,132.26,35.87
ORD48281,2025-04-15,Central,Technology,Laptops,129.32,20.52
ORD48932,2024-03-25,South,Furniture,Bookcases,878.34,101.75
ORD28809,2024-02-15,West,Technology,Phones,873.11,108.8
ORD70154,2023-12-11,West,Furniture,Tables,767.26,141.82
ORD03911,2024-12-28,East,Technology,Laptops,498.83,38.89
ORD71822,2024-11-02,Central,Office Supplies,Binders,76.77,20.69
ORD78248,2025-04-16,East,Furniture,Bookcases,496.27,33.4
ORD96383,2024-12-13,West,Furniture,Bookcases,485.78,91.06
ORD46578,2024-05-24,Central,Technology,Accessories,434.68,44.75
ORD13315,2023-06-25,West,Technology,Laptops,411.01,89.57
ORD98393,2023-06-14,Central,Office Supplies,Pens,462.46,51.78
ORD10310,2025-04-06,East,Office Supplies,Binders,596.54,64.15
ORD51834,2024-11-09,West,Furniture,Chairs,713.68,46.19
ORD73829,2024-08-29,East,Furniture,Tables,89.44,9.79
ORD73763,2023-08-21,South,Furniture,Bookcases,149.67,42.49
ORD16566,2024-06-05,South,Furniture,Tables,811.35,79.19
ORD01065,2025-02-19,East,Technology,Laptops,367.21,56.1
ORD13338,2024-05-22,East,Technology,Accessories,984.48,73.45
ORD26247,2023-12-20,South,Technology,Laptops,804.58,62.21
ORD17810,2024-10-27,West,Furniture,Bookcases,459.64,71.46
ORD80132,2024-04-19,Central,Office Supplies,Binders,877.0,60.38
ORD77360,2023-10-14,East,Furniture,Bookcases,999.3,258.83
ORD60647,2024-01-16,East,Furniture,Chairs,418.29,71.25
ORD68723,2024-01-25,South,Furniture,Chairs,391.39,115.98
ORD30980,2025-01-09,Central,Office Supplies,Paper,434.55,125.73
ORD50097,2024-07-03,South,Furniture,Chairs,310.77,90.8
ORD82081,2025-03-31,East,Technology,Laptops,76.02,14.9
ORD21913,2024-04-17,West,Furniture,Bookcases,98.51,9.5
ORD19399,2023-07-09,East,Technology,Phones,415.7,118.64
ORD91699,2024-07-19,West,Technology,Accessories,58.95,4.16
ORD54353,2024-01-01,Central,Office Supplies,Binders,676.33,86.94
ORD62475,2025-05-30,Central,Office Supplies,Binders,678.26,84.78
ORD10799,2023-08-25,Central,Furniture,Chairs,469.12,140.55
ORD18384,2023-09-19,East,Furniture,Bookcases,228.89,26.62
ORD51354,2023-10-09,Central,Furniture,Chairs,382.14,34.18
ORD78498,2023-06-15,Central,Technology,Accessories,538.36,116.81
ORD84124,2023-09-06,Central,Technology,Phones,940.15,78.57
ORD18244,2024-09-20,East,Furniture,Bookcases,562.16,66.38
ORD35348,2024-06-22,West,Technology,Laptops,219.53,45.79
ORD40164,2023-07-13,Central,Technology,Laptops,266.1,73.72
ORD05242,2025-01-04,East,Furniture,Bookcases,435.1,51.85
ORD78680,2023-09-03,East,Office Supplies,Binders,644.37,74.42
ORD12805,2024-09-03,South,Technology,Accessories,439.13,23.02
ORD82620,2024-02-03,East,Technology,Phones,554.68,143.47
ORD50533,2024-11-08,West,Office Supplies,Binders,60.99,8.61
ORD15869,2025-01-11,East,Office Supplies,Binders,688.43,149.21
ORD23226,2023-06-28,Central,Technology,Laptops,974.36,231.28
ORD25634,2023-10-10,West,Furniture,Chairs,883.79,49.67
ORD16073,2023-11-11,Central,Office Supplies,Pens,866.78,219.02
ORD75433,2023-06-27,Central,Furniture,Bookcases,125.93,33.75
ORD36541,2025-01-29,South,Furniture,Chairs,820.25,135.4
ORD45868,2024-02-21,Central,Furniture,Chairs,43.19,4.24
ORD01429,2024-01-01,Central,Office Supplies,Binders,967.55,115.89
ORD01965,2024-12-25,South,Technology,Accessories,344.53,19.6
ORD56981,2024-04-03,Central,Furniture,Bookcases,963.28,112.09
ORD93406,2023-06-10,East,Technology,Laptops,358.77,88.48
ORD88356,2023-08-02,South,Technology,Accessories,133.33,36.65
ORD59514,2024-07-06,West,Office Supplies,Binders,714.61,36.03
ORD46564,2024-08-12,West,Office Supplies,Paper,88.57,19.14
ORD23662,2024-09-29,Central,Technology,Laptops,670.12,54.38
ORD94680,2024-01-31,Central,Technology,Laptops,673.56,88.6
ORD43699,2024-10-29,Central,Technology,Phones,208.0,44.98
ORD57773,2024-07-10,South,Technology,Accessories,904.75,184.46
ORD72148,2024-11-05,Central,Office Supplies,Pens,837.05,105.44
ORD95134,2023-11-30,West,Office Supplies,Pens,614.53,80.23
ORD32003,2024-06-12,South,Office Supplies,Pens,229.43,38.61
ORD91769,2023-11-07,West,Technology,Phones,298.11,64.38
ORD67632,2024-10-30,Central,Furniture,Chairs,679.34,72.12
ORD01632,2025-02-22,West,Furniture,Chairs,65.29,19.32
ORD87083,2025-05-21,East,Office Supplies,Paper,888.41,172.28
ORD17278,2024-08-16,South,Office Supplies,Paper,259.1,55.45
ORD95798,2024-05-05,East,Furniture,Tables,234.46,58.86
ORD87277,2023-12-27,South,Furniture,Bookcases,264.21,69.25
ORD34873,2024-01-08,South,Furniture,Tables,674.23,200.23
ORD71434,2024-02-24,Central,Office Supplies,Pens,818.71,223.51
ORD58122,2023-12-05,South,Technology,Laptops,899.26,212.15
ORD62316,2024-04-20,South,Office Supplies,Paper,756.74,196.73
ORD58760,2023-11-16,Central,Technology,Laptops,634.21,75.25
ORD66909,2024-03-30,East,Technology,Laptops,249.8,33.46
ORD70546,2025-04-01,East,Furniture,Chairs,246.64,55.12
ORD68893,2024-06-22,West,Furniture,Tables,419.45,77.87
ORD34670,2024-04-06,South,Furniture,Chairs,836.23,123.23
ORD56272,2024-10-04,East,Technology,Laptops,487.44,139.25
ORD80699,2024-11-04,Central,Office Supplies,Paper,547.46,127.92
ORD01627,2023-10-28,West,Office Supplies,Binders,287.48,49.28
ORD04653,2024-05-27,South,Office Supplies,Pens,685.56,103.57
ORD55646,2023-12-21,West,Office Supplies,Binders,981.11,180.06
ORD17080,2024-03-06,South,Technology,Accessories,669.74,47.54
ORD31003,2023-11-10,South,Furniture,Tables,198.09,22.79
ORD09232,2024-06-10,Central,Furniture,Tables,340.31,81.78
ORD19374,2025-01-24,South,Office Supplies,Paper,267.23,18.83
ORD52991,2025-02-02,East,Technology,Accessories,71.04,20.46
ORD24190,2025-05-30,West,Technology,Phones,785.61,167.29
ORD49663,2023-08-07,East,Furniture,Chairs,842.44,172.98
ORD93149,2025-02-23,West,Furniture,Tables,676.07,129.12
ORD19058,2024-05-06,West,Office Supplies,Pens,271.12,38.56
ORD51850,2025-03-29,East,Furniture,Tables,125.94,7.11
ORD67165,2024-10-14,Central,Technology,Accessories,909.87,130.86
ORD72628,2024-10-26,West,Furniture,Bookcases,696.8,144.11
ORD49877,2024-05-12,East,Technology,Laptops,853.29,170.75
ORD94531,2024-01-11,East,Technology,Phones,360.26,56.59
ORD73799,2024-11-08,Central,Furniture,Bookcases,654.59,34.8
ORD65075,2023-10-28,South,Office Supplies,Binders,444.85,62.52
ORD73545,2024-01-12,South,Technology,Phones,446.78,104.3
ORD94808,2023-11-04,Central,Technology,Accessories,779.15,129.51
ORD13678,2025-01-17,Central,Office Supplies,Binders,834.12,59.78
ORD37770,2023-08-20,South,Furniture,Tables,578.45,125.55
ORD43634,2024-11-05,Central,Furniture,Tables,853.93,81.52
ORD95788,2024-03-02,West,Office Supplies,Paper,353.53,95.48
ORD68557,2024-01-05,Central,Technology,Phones,526.29,51.45
ORD44313,2024-02-09,West,Technology,Laptops,498.81,119.49
ORD18233,2025-01-02,South,Technology,Accessories,501.0,124.36
ORD74989,2024-01-14,East,Office Supplies,Binders,416.31,46.14
ORD13435,2023-10-26,Central,Office Supplies,Pens,540.3,84.49
ORD40824,2023-07-14,Central,Office Supplies,Pens,464.67,58.85
ORD08427,2023-08-27,West,Furniture,Bookcases,208.73,16.68
ORD09477,2024-05-16,West,Furniture,Chairs,743.83,88.61
ORD52047,2023-09-05,Central,Furniture,Chairs,310.32,43.51
ORD16719,2024-10-09,Central,Furniture,Bookcases,543.45,64.44
ORD02294,2023-08-14,East,Technology,Laptops,703.47,57.38
ORD31869,2024-09-14,South,Furniture,Chairs,582.58,97.49
ORD93867,2025-05-14,South,Office Supplies,Binders,966.19,109.3
ORD74964,2024-08-23,South,Furniture,Chairs,412.69,28.28
ORD90913,2024-10-06,East,Furniture,Chairs,814.92,234.11
ORD34123,2023-10-22,East,Furniture,Chairs,566.91,87.33
ORD81206,2024-05-23,West,Technology,Laptops,461.5,74.15
ORD97403,2024-01-18,South,Office Supplies,Pens,628.61,127.24
ORD47134,2025-02-09,East,Furniture,Bookcases,226.8,48.79
ORD93618,2023-11-30,West,Furniture,Chairs,560.95,50.0
ORD24210,2023-10-15,South,Office Supplies,Pens,601.93,73.93
ORD49947,2023-09-13,West,Office Supplies,Pens,297.06,78.69
ORD74648,2024-08-01,East,Technology,Phones,925.43,228.54
ORD77190,2025-04-29,West,Office Supplies,Binders,553.67,117.33
ORD65940,2023-08-18,Central,Furniture,Chairs,78.45,19.47
ORD39904,2024-08-29,Central,Office Supplies,Binders,479.32,60.41
ORD02787,2025-05-20,South,Office Supplies,Pens,549.18,87.56
